WARNING: crossbar sizes with different row annd column dimension not supported.

      ==> Functional simulator configurations:
          weight_bits=16
          weight_bit_frac=12
          input_bits=16
          input_bit_frac=12
          xbar_row_size=128
          xbar_col_size=128
          tile_row=2
          tile_col=2
          bit_stream=1
          bit_slice=2
          adc_bit=14
          acm_bits=32
          acm_bit_frac=24
          mvm=False
          non-ideality=False
          
xbmodel=NN_model(
  (fc1): Linear(in_features=16512, out_features=500, bias=True)
  (relu1): ReLU(inplace=True)
  (do2): Dropout(p=0.5, inplace=False)
  (fc3): Linear(in_features=500, out_features=128, bias=True)
)
          
xbmodel_weight_path=../xb_models/XB_128_stream1slice207dropout50epochs.pth.tar
          inmax_test=1.4
          inmin_test=0.826


DEVICE: cuda:0
GPU Id(s) being used: 1,2,3
==> Building model and model_mvm for resnet18 ...
WARNING: crossbar sizes with different row annd column dimension not supported.
==> Initializing model parameters ...
==> Load pretrained model form ../pretrained_models/ideal/resnet18fp_imnet.pth.tar ...
Pretrained model accuracy: 69.93189239501953
[46/782(6%)]	Loss 2.2531 (0.9784)	Prec@1 60.938 (77.194)	Prec@5 78.125 (92.985)
[47/782(6%)]	Loss 2.3833 (1.0077)	Prec@1 54.688 (76.725)	Prec@5 81.250 (92.741)
[48/782(6%)]	Loss 1.8333 (1.0245)	Prec@1 59.375 (76.371)	Prec@5 78.125 (92.443)
[49/782(6%)]	Loss 1.4602 (1.0332)	Prec@1 68.750 (76.219)	Prec@5 87.500 (92.344)
[50/782(6%)]	Loss 1.3994 (1.0404)	Prec@1 65.625 (76.011)	Prec@5 90.625 (92.310)
[51/782(7%)]	Loss 1.7383 (1.0538)	Prec@1 57.812 (75.661)	Prec@5 82.812 (92.127)
[52/782(7%)]	Loss 1.3825 (1.0600)	Prec@1 67.188 (75.501)	Prec@5 89.062 (92.070)
[53/782(7%)]	Loss 1.8212 (1.0741)	Prec@1 35.938 (74.769)	Prec@5 84.375 (91.927)
[54/782(7%)]	Loss 0.5163 (1.0640)	Prec@1 92.188 (75.085)	Prec@5 93.750 (91.960)
[55/782(7%)]	Loss 0.6543 (1.0567)	Prec@1 85.938 (75.279)	Prec@5 95.312 (92.020)
[56/782(7%)]	Loss 0.5866 (1.0484)	Prec@1 90.625 (75.548)	Prec@5 93.750 (92.050)
[57/782(7%)]	Loss 2.1483 (1.0674)	Prec@1 32.812 (74.811)	Prec@5 95.312 (92.107)
[58/782(7%)]	Loss 0.8959 (1.0645)	Prec@1 70.312 (74.735)	Prec@5 95.312 (92.161)
[59/782(8%)]	Loss 1.0004 (1.0634)	Prec@1 84.375 (74.896)	Prec@5 95.312 (92.214)
[60/782(8%)]	Loss 1.3259 (1.0677)	Prec@1 71.875 (74.846)	Prec@5 87.500 (92.136)
[61/782(8%)]	Loss 1.9911 (1.0826)	Prec@1 71.875 (74.798)	Prec@5 81.250 (91.961)
[62/782(8%)]	Loss 0.7926 (1.0780)	Prec@1 79.688 (74.876)	Prec@5 96.875 (92.039)
[63/782(8%)]	Loss 0.8004 (1.0737)	Prec@1 78.125 (74.927)	Prec@5 93.750 (92.065)
[64/782(8%)]	Loss 0.5421 (1.0655)	Prec@1 87.500 (75.120)	Prec@5 96.875 (92.139)
[65/782(8%)]	Loss 0.3321 (1.0544)	Prec@1 92.188 (75.379)	Prec@5 98.438 (92.235)
[66/782(8%)]	Loss 0.6605 (1.0485)	Prec@1 85.938 (75.536)	Prec@5 92.188 (92.234)
[67/782(9%)]	Loss 0.6457 (1.0426)	Prec@1 78.125 (75.574)	Prec@5 100.000 (92.348)
[68/782(9%)]	Loss 0.3580 (1.0326)	Prec@1 92.188 (75.815)	Prec@5 95.312 (92.391)
[69/782(9%)]	Loss 0.2481 (1.0214)	Prec@1 93.750 (76.071)	Prec@5 98.438 (92.478)
[70/782(9%)]	Loss 0.3889 (1.0125)	Prec@1 92.188 (76.298)	Prec@5 95.312 (92.518)
[71/782(9%)]	Loss 0.5924 (1.0067)	Prec@1 87.500 (76.454)	Prec@5 92.188 (92.513)
[72/782(9%)]	Loss 0.5391 (1.0003)	Prec@1 90.625 (76.648)	Prec@5 95.312 (92.551)
[73/782(9%)]	Loss 0.5073 (0.9936)	Prec@1 90.625 (76.837)	Prec@5 96.875 (92.610)
[74/782(9%)]	Loss 0.4547 (0.9864)	Prec@1 92.188 (77.042)	Prec@5 93.750 (92.625)
[75/782(10%)]	Loss 0.5625 (0.9809)	Prec@1 87.500 (77.179)	Prec@5 96.875 (92.681)
[76/782(10%)]	Loss 0.5251 (0.9749)	Prec@1 85.938 (77.293)	Prec@5 95.312 (92.715)
[77/782(10%)]	Loss 0.9908 (0.9751)	Prec@1 70.312 (77.204)	Prec@5 95.312 (92.748)
[78/782(10%)]	Loss 0.6045 (0.9705)	Prec@1 87.500 (77.334)	Prec@5 93.750 (92.761)
[79/782(10%)]	Loss 0.9675 (0.9704)	Prec@1 68.750 (77.227)	Prec@5 95.312 (92.793)
[80/782(10%)]	Loss 0.6610 (0.9666)	Prec@1 85.938 (77.334)	Prec@5 95.312 (92.824)
[81/782(10%)]	Loss 0.9884 (0.9669)	Prec@1 75.000 (77.306)	Prec@5 90.625 (92.797)
[82/782(10%)]	Loss 0.7450 (0.9642)	Prec@1 81.250 (77.353)	Prec@5 92.188 (92.790)
[83/782(11%)]	Loss 1.5171 (0.9708)	Prec@1 79.688 (77.381)	Prec@5 90.625 (92.764)
[84/782(11%)]	Loss 1.2155 (0.9737)	Prec@1 71.875 (77.316)	Prec@5 93.750 (92.776)
[85/782(11%)]	Loss 0.5549 (0.9688)	Prec@1 85.938 (77.416)	Prec@5 95.312 (92.805)
[86/782(11%)]	Loss 1.2139 (0.9716)	Prec@1 70.312 (77.335)	Prec@5 89.062 (92.762)
[87/782(11%)]	Loss 0.8875 (0.9706)	Prec@1 82.812 (77.397)	Prec@5 92.188 (92.756)
[88/782(11%)]	Loss 1.2282 (0.9735)	Prec@1 71.875 (77.335)	Prec@5 87.500 (92.697)
[89/782(11%)]	Loss 1.2616 (0.9767)	Prec@1 73.438 (77.292)	Prec@5 82.812 (92.587)
[90/782(12%)]	Loss 0.4847 (0.9713)	Prec@1 85.938 (77.387)	Prec@5 98.438 (92.651)
[91/782(12%)]	Loss 1.2410 (0.9743)	Prec@1 76.562 (77.378)	Prec@5 90.625 (92.629)
[92/782(12%)]	Loss 0.9198 (0.9737)	Prec@1 81.250 (77.419)	Prec@5 92.188 (92.624)
